STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT10,WT10_ATTRIBUTES
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/1/2018,5.82,",,W",,,,,,,0,",,W",0,",,W",,,80,",,W",65,",,W",240,",,W",220,",,W",12.1,",,W",15,",,W",,,,,1,",,W",,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/2/2018,5.37,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",65,",,W",20,",,W",20,",,W",14.1,",,W",16.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/3/2018,7.16,",,W",,,,,,,0,",,W",0,",,W",,,80,",,W",65,",,W",30,",,W",40,",,W",25.9,",,W",33.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/4/2018,7.38,",,W",,,,,,,0,",,W",0,",,W",,,80,",,W",65,",,W",200,",,W",190,",,W",16.1,",,W",18.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/5/2018,6.49,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",65,",,W",150,",,W",10,",,W",13,",,W",16.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/6/2018,6.49,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",66,",,W",130,",,W",30,",,W",14.1,",,W",17,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/7/2018,6.26,",,W",,,,,,,0,",,W",0,",,W",,,79,",,W",67,",,W",60,",,W",60,",,W",19.9,",,W",27.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/8/2018,6.71,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",68,",,W",190,",,W",180,",,W",14.1,",,W",18.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/9/2018,7.61,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",68,",,W",270,",,W",280,",,W",15,",,W",19,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/10/2018,6.04,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",68,",,W",190,",,W",180,",,W",14.1,",,W",17,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/11/2018,6.26,",,W",,,,,,,0,",,W",0,",,W",,,82,",,W",71,",,W",180,",,W",240,",,W",10.1,",,W",13,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/12/2018,5.82,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",67,",,W",330,",,W",330,",,W",14.1,",,W",16.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/13/2018,7.38,",,W",,,,,,,0,",,W",0,",,W",,,83,",,W",71,",,W",330,",,W",360,",,W",17,",,W",21.9,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/14/2018,7.38,",,W",,,,,,,0,",,W",0,",,W",,,82,",,W",69,",,W",170,",,W",180,",,W",16.1,",,W",19.9,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/15/2018,7.16,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",67,",,W",200,",,W",190,",,W",16.1,",,W",19,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/16/2018,11.18,",,W",,,,,,,0,",,W",0,",,W",,,83,",,W",70,",,W",50,",,W",40,",,W",30,",,W",38,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/17/2018,9.17,",,W",,,,,,,0,",,W",0,",,W",,,83,",,W",68,",,W",40,",,W",30,",,W",31.1,",,W",36,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/18/2018,6.71,",,W",,,,,,,0,",,W",0,",,W",,,82,",,W",66,",,W",170,",,W",210,",,W",13,",,W",16.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/19/2018,6.49,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",68,",,W",230,",,W",210,",,W",13,",,W",17,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/20/2018,5.82,",,W",,,,,,,0,",,W",0,",,W",,,82,",,W",70,",,W",210,",,W",210,",,W",13,",,W",16.1,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/21/2018,4.47,",,W",,,,,,,0,",,W",0,",,W",,,80,",,W",69,",,W",290,",,W",240,",,W",8.1,",,W",11,",,W",,,,,,,,
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73782,-156.04795,11.3,1/22/2018,5.82,",,W",,,,,,,0,",,W",0,",,W",,,81,",,W",69,",,W",180,",,W",180,",,W",13,",,W",16.1,",,W",,,,,,,,
