STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/1/2018,8.72,W,,,0,W2400,0,W,0,W,36,HS,44,W,31,W,20,W,20,W,15,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/2/2018,7.83,W,,,0,W2400,0,W,0,W,37,HS,44,W,34,W,30,W,20,W,15,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/3/2018,8.72,W,,,0,W2400,0,W,0,W,39,HS,49,W,33,W,20,W,30,W,13,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/4/2018,2.68,W,,,0.13,W2400,0,W,0,W,41,HS,47,W,35,W,120,W,90,W,10.1,W,12.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/5/2018,6.49,W,,,0.51,W2400,0,W,0,W,46,HS,51,W,45,W,110,W,110,W,19.9,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/6/2018,10.51,W,,,0.17,W2400,0,W,0,W,47,HS,48,W,42,W,220,W,210,W,21.9,W,28,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/7/2018,6.04,W,,,0.33,W2400,0,W,0,W,44,HS,45,W,41,W,120,W,140,W,14.1,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/8/2018,3.8,W,,,0.16,W2400,0,W,0,W,45,HS,49,W,43,W,110,W,110,W,12.1,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/9/2018,8.5,W,,,0.18,W2400,0,W,0,W,45,HS,50,W,43,W,210,W,210,W,19.9,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/10/2018,10.51,W,,,0.17,W2400,0,W,0,W,43,HS,45,W,41,W,190,W,190,W,17,W,23,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/11/2018,9.84,W,,,1.12,W2400,0,W,0,W,44,HS,50,W,42,W,220,W,200,W,18.1,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/12/2018,11.63,W,,,0.1,W2400,0,W,0,W,50,HS,51,W,48,W,210,W,190,W,23,W,31.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/13/2018,6.71,W,,,0.01,W2400,0,W,0,W,50,HS,58,W,45,W,20,W,20,W,15,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/14/2018,5.59,W,,,0,W2400,0,W,0,W,47,HS,56,W,40,W,20,W,10,W,15,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/15/2018,8.72,W,,,0.06,W2400,0,W,0,W,48,HS,64,W,41,W,130,W,120,W,21.9,W,29.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/16/2018,8.72,W,,,0.19,W2400,0,W,0,W,52,HS,56,W,44,W,190,W,210,W,21,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/17/2018,9.17,W,,,0.43,W2400,0,W,0,W,49,HS,56,W,45,W,200,W,200,W,25.9,W,33.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/18/2018,10.51,W,,,0.4,W2400,0,W,0,W,48,HS,52,W,39,W,270,W,250,W,23.9,W,34,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/19/2018,11.18,W,,,0.03,W2400,0,W,0,W,42,HS,46,W,38,W,210,W,210,W,21.9,W,28,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/20/2018,14.32,W,,,0.08,W2400,0,W,0,W,43,HS,49,W,39,W,170,W,180,W,25.1,W,35.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/21/2018,17.9,W,,,0.11,W2400,0,W,0,W,48,HS,51,W,39,W,210,W,210,W,30,W,40.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/22/2018,10.96,W,,,0.36,W2400,0,W,0,W,43,HS,47,W,40,W,200,W,200,W,21,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/23/2018,8.5,W,2333,W,0.88,W2400,0,W,0,W,42,HS,48,W,40,W,160,W,160,W,21,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/24/2018,10.07,W,1743,W,0.44,W2400,0,W,0,W,46,HS,49,W,41,W,220,W,230,W,28,W,38.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/25/2018,10.07,W,2303,W,0.15,W2400,0,W,0,W,41,HS,44,W,37,W,180,W,220,W,21.9,W,27.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/26/2018,11.41,W, 0120,W,0.41,W2400,0,W,0,W,40,HS,42,W,38,W,210,W,210,W,21.9,W,29.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/27/2018,14.99,W,1210,W,0.55,W2400,0,W,0,W,43,HS,48,W,41,W,220,W,220,W,31.1,W,40.9,W
